review_id,order_id,customer_id,product_id,rating,review_text,review_date,verified_purchase
REV00028,ORD01346,C1376,P004,4,"The City Slip-On are so soft and comfortable, feels like walking on clouds. Very easy to wear, true to size, and the Navy Blue colour looks amazing in person.",2026-07-06,True
REV00029,ORD00702,C1049,P002,5,"Loved the design and the fit was spot on. Would definitely recommend the Runner Pro. These Runner Pro are incredibly comfortable, I can wear them all day without any pain.",2026-08-22,True
REV00030,ORD01239,C1409,P011,5,Super lightweight and stylish. Get compliments every time I wear my Cloud Step. Perfect for daily walks. The cushioning on the Cloud Step is fantastic.,2025-11-04,True
REV00031,ORD00214,C1486,P002,4,"Very easy to wear, true to size, and the Jet Black colour looks amazing in person.",2026-08-01,True
REV00032,ORD00580,C1486,P005,4,"The Wool Runner are so soft and comfortable, feels like walking on clouds.",2026-05-24,True
REV00033,ORD01318,C1133,P006,5,I was skeptical but the Active Knit exceeded my expectations. Extremely comfortable fit.,2026-07-28,True
REV00034,ORD00979,C1341,P011,4,Breathable material and lightweight - ideal for long office days.,2025-10-17,True
REV00035,ORD01188,C1300,P007,5,"Very easy to wear, true to size, and the Tan Brown colour looks amazing in person.",2026-08-14,True
REV00036,ORD01290,C1319,P009,4,Great quality for the price. My Classic Loafer still look brand new after months of use.,2025-11-12,True
REV00037,ORD01314,C1209,P007,5,"Bought as a gift, and the packaging plus quality really impressed my friend.",2026-05-16,True
REV00038,ORD00330,C1485,P009,5,"My third pair from Neeman's, and the Classic Loafer might be my favourite so far.",2026-01-04,True
REV00039,ORD00433,C1488,P010,4,"My third pair from Neeman's, and the Flex Trainer might be my favourite so far.",2026-05-18,True
REV00040,ORD00831,C1165,P004,4,"Great quality for the price. My City Slip-On still look brand new after months of use. Excellent build quality, the stitching and finish look premium.",2025-09-30,True
REV00041,ORD01186,C1260,P002,4,I was skeptical but the Runner Pro exceeded my expectations. Extremely comfortable fit.,2025-10-21,True
REV00042,ORD00487,C1249,P002,5,Fits true to size and the arch support is great for standing all day.,2026-02-16,True
REV00043,ORD00565,C1070,P005,3,"Fit is okay, needed a few days to break in before it felt normal. The Wool Runner are okay, nothing special but does the job.",2026-03-21,True
REV00044,ORD01377,C1352,P012,4,"Stylish look, comfortable sole, and delivery was quick too. Very happy overall.",2026-02-20,True
REV00045,ORD00869,C1420,P003,5,Good value for money. The Daily Walk feel premium and well made.,2026-02-17,True
REV00046,ORD01104,C1145,P007,4,Super lightweight and stylish. Get compliments every time I wear my Comfort Sandal.,2025-11-03,True
REV00047,ORD00161,C1185,P007,1,Packaging felt very basic for the price point of these shoes.,2026-02-03,True
REV00048,ORD01238,C1194,P003,4,Good value for money. The Daily Walk feel premium and well made.,2026-01-28,True
REV00049,ORD00466,C1419,P006,4,"I was skeptical but the Active Knit exceeded my expectations. Extremely comfortable fit. Excellent build quality, the stitching and finish look premium.",2026-04-13,True
REV00050,ORD00729,C1431,P007,2,"The Comfort Sandal feel stiff and uncomfortable, especially around the heel area.",2026-02-19,True
REV00051,ORD00063,C1089,P005,5,"My third pair from Neeman's, and the Wool Runner might be my favourite so far. Loved the design and the fit was spot on. Would definitely recommend the Wool Runner.",2026-06-20,True
REV00052,ORD00592,C1377,P012,3,"Fit is okay, needed a few days to break in before it felt normal. Comfort is fine but I'm still deciding if I like the overall look.",2026-05-19,True
REV00053,ORD00693,C1397,P009,5,Perfect for daily walks. The cushioning on the Classic Loafer is fantastic.,2026-04-20,True
REV00054,ORD00937,C1192,P006,4,I was skeptical but the Active Knit exceeded my expectations. Extremely comfortable fit.,2025-12-30,True
REV00055,ORD00282,C1298,P001,2,"The Everyday Sneakers run really small, had to return and get a bigger size. Bought these two months ago and the sole has already worn thin.",2026-03-24,True
REV00056,ORD01389,C1132,P003,5,"These Daily Walk are incredibly comfortable, I can wear them all day without any pain.",2026-02-27,True
REV00057,ORD00556,C1055,P011,3,"Reasonable quality, delivery took a bit longer than expected but shoes are fine.",2026-01-21,True
REV00058,ORD00993,C1182,P012,5,"My third pair from Neeman's, and the Urban Hi-Top might be my favourite so far.",2025-11-18,True
REV00059,ORD00189,C1112,P002,4,Great quality for the price. My Runner Pro still look brand new after months of use.,2026-03-16,True
REV00060,ORD01345,C1170,P011,5,Super lightweight and stylish. Get compliments every time I wear my Cloud Step.,2026-05-07,True
REV00061,ORD00914,C1453,P007,5,Super lightweight and stylish. Get compliments every time I wear my Comfort Sandal.,2025-11-07,True
REV00062,ORD01283,C1051,P008,1,The Olive Green colour started fading after just a few washes.,2025-12-04,True
REV00063,ORD00689,C1061,P004,4,"These City Slip-On are incredibly comfortable, I can wear them all day without any pain.",2026-01-31,True
REV00064,ORD01183,C1208,P009,5,"Excellent build quality, the stitching and finish look premium.",2025-12-05,True
REV00065,ORD01259,C1160,P004,5,"Bought as a gift, and the packaging plus quality really impressed my friend.",2026-06-10,True
REV00066,ORD00712,C1391,P002,4,Loved the design and the fit was spot on. Would definitely recommend the Runner Pro.,2025-10-01,True
REV00067,ORD00664,C1363,P005,4,Perfect for daily walks. The cushioning on the Wool Runner is fantastic.,2026-07-05,True
REV00068,ORD00203,C1039,P006,5,"My third pair from Neeman's, and the Active Knit might be my favourite so far.",2026-05-25,True
REV00069,ORD00654,C1444,P005,3,"The Wool Runner are okay, nothing special but does the job.",2025-11-01,True
REV00070,ORD00922,C1218,P008,5,Great quality for the price. My Trail Blazer still look brand new after months of use.,2026-07-15,True
REV00071,ORD00867,C1468,P006,2,Sole started wearing out after only a month of regular use.,2026-02-10,True
REV00072,ORD01287,C1103,P011,4,"My third pair from Neeman's, and the Cloud Step might be my favourite so far.",2025-10-25,True
REV00073,ORD00024,C1276,P005,5,Fits true to size and the arch support is great for standing all day.,2026-05-28,False
REV00074,ORD00132,C1390,P011,4,Great quality for the price. My Cloud Step still look brand new after months of use.,2026-05-23,True
REV00075,ORD01284,C1039,P003,1,"The fabric on the Daily Walk pilled and looked worn out very quickly. Size guide is misleading, ordered my usual size but the Daily Walk were too tight.",2026-02-15,True
REV00076,ORD00302,C1446,P001,3,Average experience. Comfortable but the Charcoal Grey colour looked a bit different than the photos.,2026-03-28,True
REV00077,ORD00388,C1247,P002,5,"Perfect for daily walks. The cushioning on the Runner Pro is fantastic. My third pair from Neeman's, and the Runner Pro might be my favourite so far.",2025-12-02,True
REV00078,ORD00717,C1273,P003,3,"Reasonable quality, delivery took a bit longer than expected but shoes are fine.",2026-07-08,True
REV00079,ORD00842,C1393,P006,5,Great quality for the price. My Active Knit still look brand new after months of use.,2026-05-18,True
REV00080,ORD00469,C1132,P003,5,"These Daily Walk are incredibly comfortable, I can wear them all day without any pain.",2025-12-17,True
REV00081,ORD01220,C1119,P005,5,Great quality for the price. My Wool Runner still look brand new after months of use.,2026-03-24,True
REV00082,ORD00382,C1359,P012,1,The fabric on the Urban Hi-Top pilled and looked worn out very quickly.,2026-04-13,True
REV00083,ORD00128,C1260,P008,2,"Poor durability, the stitching on the sides is already coming apart.",2025-11-04,True
REV00084,ORD00844,C1381,P011,4,Perfect for daily walks. The cushioning on the Cloud Step is fantastic.,2026-07-06,False
REV00085,ORD00551,C1023,P004,4,Good value for money. The City Slip-On feel premium and well made.,2026-08-23,True
REV00086,ORD00722,C1202,P009,3,"Comfort is fine but I'm still deciding if I like the overall look. Good for casual use, not something I'd wear for long walks though.",2026-03-26,True
REV00087,ORD00983,C1444,P007,4,"My third pair from Neeman's, and the Comfort Sandal might be my favourite so far. These Comfort Sandal are incredibly comfortable, I can wear them all day without any pain.",2026-04-20,True
REV00088,ORD00036,C1097,P005,5,"Stylish look, comfortable sole, and delivery was quick too. Very happy overall.",2026-04-11,True
REV00089,ORD00299,C1493,P003,3,"It's a fine pair of Daily Walk, does what it says, no major complaints. Average experience. Comfortable but the Stone Beige colour looked a bit different than the photos.",2026-04-24,True
REV00090,ORD00097,C1485,P004,5,"Bought as a gift, and the packaging plus quality really impressed my friend.",2026-03-11,True
REV00091,ORD01360,C1226,P012,2,The Black/White colour started fading after just a few washes.,2026-02-05,False
REV00092,ORD01044,C1128,P005,5,Loved the design and the fit was spot on. Would definitely recommend the Wool Runner.,2026-05-02,True
REV00093,ORD00841,C1097,P001,5,Loved the design and the fit was spot on. Would definitely recommend the Everyday Sneakers.,2025-12-20,True
REV00094,ORD00142,C1074,P001,4,"Excellent build quality, the stitching and finish look premium. These Everyday Sneakers are incredibly comfortable, I can wear them all day without any pain.",2026-02-28,True
REV00095,ORD00426,C1045,P007,3,Average experience. Comfortable but the Tan Brown colour looked a bit different than the photos.,2026-08-26,True
REV00096,ORD00108,C1485,P002,5,"Fits true to size and the arch support is great for standing all day. The Runner Pro are so soft and comfortable, feels like walking on clouds.",2026-07-13,False
REV00097,ORD01328,C1040,P004,3,"Fit is okay, needed a few days to break in before it felt normal. It's a fine pair of City Slip-On, does what it says, no major complaints.",2026-01-27,True
REV00098,ORD00819,C1341,P011,5,I was skeptical but the Cloud Step exceeded my expectations. Extremely comfortable fit.,2026-06-24,True
REV00099,ORD00591,C1358,P004,5,"Stylish look, comfortable sole, and delivery was quick too. Very happy overall. Super lightweight and stylish. Get compliments every time I wear my City Slip-On.",2026-02-06,True
REV00100,ORD00183,C1179,P010,5,Super lightweight and stylish. Get compliments every time I wear my Flex Trainer. Breathable material and lightweight - ideal for long office days.,2026-08-07,True
REV00101,ORD00557,C1078,P011,4,"Bought as a gift, and the packaging plus quality really impressed my friend.",2025-09-18,True
REV00102,ORD00071,C1237,P003,5,Perfect for daily walks. The cushioning on the Daily Walk is fantastic.,2026-08-24,True
REV00103,ORD00808,C1092,P008,1,The fabric on the Trail Blazer pilled and looked worn out very quickly.,2026-08-13,True
REV00104,ORD00687,C1293,P012,5,"Stylish look, comfortable sole, and delivery was quick too. Very happy overall.",2026-03-01,True
REV00105,ORD01224,C1246,P010,5,"These Flex Trainer are incredibly comfortable, I can wear them all day without any pain.",2025-11-29,True
REV00106,ORD01331,C1389,P001,1,"The Charcoal Grey colour looked very different from the pictures on the site. Received the wrong colour, ordered Charcoal Grey but got a completely different shade.",2025-11-09,True
REV00107,ORD00300,C1045,P005,4,"My third pair from Neeman's, and the Wool Runner might be my favourite so far.",2026-02-22,True
REV00108,ORD01205,C1282,P004,4,Perfect for daily walks. The cushioning on the City Slip-On is fantastic. Loved the design and the fit was spot on. Would definitely recommend the City Slip-On.,2025-09-16,True
REV00109,ORD01139,C1409,P005,3,"Fit is okay, needed a few days to break in before it felt normal.",2025-11-28,True
REV00110,ORD01163,C1301,P001,2,The Charcoal Grey colour looked very different from the pictures on the site.,2026-04-03,True
REV00111,ORD01191,C1148,P004,2,"Delivery was delayed by over a week, no proper updates on tracking. Design looks nice in photos but feels a bit plain in person.",2026-07-06,True
REV00112,ORD00187,C1217,P001,5,Super lightweight and stylish. Get compliments every time I wear my Everyday Sneakers.,2025-11-22,False
REV00113,ORD00772,C1204,P006,5,"I was skeptical but the Active Knit exceeded my expectations. Extremely comfortable fit. Very easy to wear, true to size, and the Forest Green colour looks amazing in person.",2025-10-18,True
REV00114,ORD00001,C1044,P011,4,"The Cloud Step are so soft and comfortable, feels like walking on clouds.",2025-11-13,True
REV00115,ORD00563,C1151,P002,4,Fits true to size and the arch support is great for standing all day.,2026-05-19,True
REV00116,ORD00807,C1072,P005,5,Perfect for daily walks. The cushioning on the Wool Runner is fantastic.,2026-04-26,True
REV00117,ORD01218,C1031,P001,2,"Had to size up two sizes to get a comfortable fit on the Everyday Sneakers. The Everyday Sneakers feel stiff and uncomfortable, especially around the heel area.",2026-03-21,True
REV00118,ORD00410,C1086,P001,4,"The Everyday Sneakers are so soft and comfortable, feels like walking on clouds.",2026-07-02,True
REV00119,ORD01105,C1067,P011,2,"Not comfortable at all for daily wear, the sole feels too hard.",2026-08-24,True
REV00120,ORD01091,C1096,P006,4,I was skeptical but the Active Knit exceeded my expectations. Extremely comfortable fit.,2026-05-14,True
REV00121,ORD01372,C1092,P002,1,"The design shows the logo too prominently, not a fan of the branding placement. The fabric on the Runner Pro pilled and looked worn out very quickly.",2026-01-08,True
REV00122,ORD00510,C1229,P010,3,"Decent shoes for the price, though I expected slightly better cushioning.",2026-08-20,True
REV00123,ORD01302,C1105,P011,5,"The Cloud Step are so soft and comfortable, feels like walking on clouds.",2026-02-04,False
REV00124,ORD00397,C1043,P008,5,Perfect for daily walks. The cushioning on the Trail Blazer is fantastic.,2026-07-15,True
REV00125,ORD00144,C1341,P004,5,Fits true to size and the arch support is great for standing all day.,2026-05-25,True
REV00126,ORD00994,C1263,P001,5,"Very easy to wear, true to size, and the Charcoal Grey colour looks amazing in person. Good value for money. The Everyday Sneakers feel premium and well made.",2026-01-29,True
REV00127,ORD00407,C1418,P012,3,"Good for casual use, not something I'd wear for long walks though.",2026-07-30,True
REV00128,ORD00453,C1288,P008,3,Comfort is fine but I'm still deciding if I like the overall look.,2026-01-31,True
REV00129,ORD01310,C1372,P007,3,"Reasonable quality, delivery took a bit longer than expected but shoes are fine.",2025-10-19,True
REV00130,ORD00185,C1080,P012,2,"The Urban Hi-Top run really small, had to return and get a bigger size.",2026-08-16,False
REV00131,ORD00735,C1341,P009,5,Loved the design and the fit was spot on. Would definitely recommend the Classic Loafer.,2025-11-16,True
REV00132,ORD01193,C1273,P007,4,Loved the design and the fit was spot on. Would definitely recommend the Comfort Sandal.,2026-03-11,True
REV00133,ORD00923,C1428,P006,4,Super lightweight and stylish. Get compliments every time I wear my Active Knit.,2026-08-24,True
REV00134,ORD00600,C1401,P009,5,"My third pair from Neeman's, and the Classic Loafer might be my favourite so far.",2025-12-25,True
REV00135,ORD01263,C1195,P003,3,"The Daily Walk are okay, nothing special but does the job. Good for casual use, not something I'd wear for long walks though.",2025-12-08,True
REV00136,ORD01325,C1220,P001,1,"Build quality is disappointing, doesn't feel like a premium product. Refund took much longer than promised after returning the Everyday Sneakers.",2025-11-02,True
REV00137,ORD00539,C1241,P011,5,"These Cloud Step are incredibly comfortable, I can wear them all day without any pain. Bought as a gift, and the packaging plus quality really impressed my friend.",2026-03-15,True
REV00138,ORD01071,C1351,P002,5,Loved the design and the fit was spot on. Would definitely recommend the Runner Pro.,2025-11-18,True
REV00139,ORD01130,C1098,P011,1,"Expected more cushioning, my feet hurt after just an hour of wearing the Cloud Step.",2026-02-27,True
REV00140,ORD01123,C1241,P007,4,Great quality for the price. My Comfort Sandal still look brand new after months of use.,2025-09-13,True
REV00141,ORD00900,C1460,P012,2,"Not comfortable at all for daily wear, the sole feels too hard. Customer support was unresponsive when I tried to exchange my order.",2025-11-21,True
REV00142,ORD00924,C1212,P004,5,Super lightweight and stylish. Get compliments every time I wear my City Slip-On.,2025-10-13,True
REV00143,ORD01202,C1363,P004,5,"My third pair from Neeman's, and the City Slip-On might be my favourite so far.",2026-05-02,True
REV00144,ORD01361,C1185,P012,2,Sizing is inconsistent - my other Neeman's shoes fit fine but these Urban Hi-Top don't.,2026-05-15,False
REV00145,ORD00552,C1172,P005,2,"Poor durability, the stitching on the sides is already coming apart. Sizing is inconsistent - my other Neeman's shoes fit fine but these Wool Runner don't.",2026-02-07,False
REV00146,ORD00584,C1130,P002,5,Super lightweight and stylish. Get compliments every time I wear my Runner Pro.,2025-09-26,True
REV00147,ORD01015,C1437,P008,3,"Good for casual use, not something I'd wear for long walks though.",2026-07-18,True
REV00148,ORD00550,C1127,P009,5,"The Classic Loafer are so soft and comfortable, feels like walking on clouds.",2025-12-26,True
REV00149,ORD00856,C1179,P006,2,The fabric on the Active Knit pilled and looked worn out very quickly.,2026-04-29,True
REV00150,ORD00209,C1285,P007,5,"Excellent build quality, the stitching and finish look premium.",2026-03-11,True
REV00151,ORD00634,C1245,P005,4,"Very easy to wear, true to size, and the Heather Grey colour looks amazing in person.",2026-03-11,True
REV00152,ORD00074,C1140,P004,5,I was skeptical but the City Slip-On exceeded my expectations. Extremely comfortable fit.,2026-08-14,False
REV00153,ORD00443,C1085,P001,3,"Reasonable quality, delivery took a bit longer than expected but shoes are fine.",2025-12-09,True
REV00154,ORD00799,C1098,P010,5,"Stylish look, comfortable sole, and delivery was quick too. Very happy overall. Excellent build quality, the stitching and finish look premium.",2026-05-06,True
REV00155,ORD01164,C1225,P009,2,Design looks nice in photos but feels a bit plain in person.,2026-05-27,True
REV00156,ORD00446,C1290,P008,5,"Excellent build quality, the stitching and finish look premium.",2026-04-30,True
REV00157,ORD01082,C1498,P008,5,"My third pair from Neeman's, and the Trail Blazer might be my favourite so far.",2025-10-19,True
REV00158,ORD01359,C1435,P004,5,Great quality for the price. My City Slip-On still look brand new after months of use.,2026-08-26,True
REV00159,ORD00708,C1363,P002,2,"The Runner Pro run really small, had to return and get a bigger size. The material quality of the Runner Pro feels cheap compared to the price.",2025-10-31,True
REV00160,ORD00748,C1091,P002,1,"Return pickup got rescheduled three times, very inconvenient experience.",2025-10-30,True
REV00161,ORD00298,C1475,P008,4,"Bought as a gift, and the packaging plus quality really impressed my friend.",2025-10-29,True
REV00162,ORD00767,C1418,P012,5,"These Urban Hi-Top are incredibly comfortable, I can wear them all day without any pain.",2026-07-16,False
REV00163,ORD00505,C1115,P003,1,"Build quality is disappointing, doesn't feel like a premium product.",2026-03-26,True
REV00164,ORD01228,C1427,P010,4,"Bought as a gift, and the packaging plus quality really impressed my friend.",2026-08-22,True
REV00165,ORD00522,C1081,P007,1,"The insole is too thin, no arch support, my feet ache by evening.",2026-05-26,True
REV00166,ORD00077,C1438,P008,2,Sizing is inconsistent - my other Neeman's shoes fit fine but these Trail Blazer don't. Packaging felt very basic for the price point of these shoes.,2026-04-25,True
REV00167,ORD01146,C1436,P004,1,"Build quality is disappointing, doesn't feel like a premium product. The material quality of the City Slip-On feels cheap compared to the price.",2025-11-24,True
REV00168,ORD00731,C1127,P003,3,"It's a fine pair of Daily Walk, does what it says, no major complaints.",2026-01-01,True
REV00169,ORD00356,C1498,P002,1,Sizing is inconsistent - my other Neeman's shoes fit fine but these Runner Pro don't.,2026-05-25,True
REV00170,ORD00065,C1345,P005,4,Perfect for daily walks. The cushioning on the Wool Runner is fantastic.,2025-12-22,True
REV00171,ORD01152,C1403,P007,5,"Stylish look, comfortable sole, and delivery was quick too. Very happy overall. Breathable material and lightweight - ideal for long office days.",2026-04-23,True
REV00172,ORD00389,C1414,P006,3,"The Active Knit are okay, nothing special but does the job.",2026-04-28,True
REV00173,ORD01080,C1074,P005,3,"Fit is okay, needed a few days to break in before it felt normal.",2026-08-14,True
REV00174,ORD00059,C1197,P010,4,Good value for money. The Flex Trainer feel premium and well made.,2026-04-28,True
REV00175,ORD00919,C1241,P012,4,"The Urban Hi-Top are so soft and comfortable, feels like walking on clouds.",2026-06-27,True
REV00176,ORD01279,C1327,P002,4,Super lightweight and stylish. Get compliments every time I wear my Runner Pro.,2026-05-23,True
REV00177,ORD00670,C1109,P011,5,"Excellent build quality, the stitching and finish look premium.",2025-11-08,True
REV00178,ORD00559,C1144,P010,5,I was skeptical but the Flex Trainer exceeded my expectations. Extremely comfortable fit.,2026-07-20,True
REV00179,ORD00523,C1448,P002,3,"Good for casual use, not something I'd wear for long walks though.",2026-02-25,True
REV00180,ORD01033,C1182,P006,5,"Excellent build quality, the stitching and finish look premium. Breathable material and lightweight - ideal for long office days.",2026-07-17,True
REV00181,ORD00126,C1311,P005,1,"Value for money isn't great, quality doesn't quite match the price tag. Design looks nice in photos but feels a bit plain in person.",2026-04-10,True
REV00182,ORD01002,C1113,P003,5,Fits true to size and the arch support is great for standing all day.,2026-08-23,True
REV00183,ORD00502,C1218,P002,1,Design looks nice in photos but feels a bit plain in person. Packaging felt very basic for the price point of these shoes.,2025-09-24,True
REV00184,ORD00422,C1042,P011,1,"Late delivery ruined the surprise, had ordered these for an event.",2026-02-14,True
REV00185,ORD00490,C1494,P012,4,Great quality for the price. My Urban Hi-Top still look brand new after months of use.,2025-09-19,True
REV00186,ORD00022,C1040,P005,3,"Reasonable quality, delivery took a bit longer than expected but shoes are fine.",2026-01-14,True
REV00187,ORD00150,C1225,P011,1,Sizing is inconsistent - my other Neeman's shoes fit fine but these Cloud Step don't.,2026-08-08,True
REV00188,ORD00579,C1326,P007,4,Loved the design and the fit was spot on. Would definitely recommend the Comfort Sandal.,2025-09-20,True
REV00189,ORD01288,C1172,P004,4,"Excellent build quality, the stitching and finish look premium.",2026-03-16,True
REV00190,ORD00625,C1293,P012,1,"Not comfortable at all for daily wear, the sole feels too hard. The Black/White colour looked very different from the pictures on the site.",2026-08-18,True
REV00191,ORD00802,C1311,P012,2,"Build quality is disappointing, doesn't feel like a premium product.",2026-03-05,True
REV00192,ORD00834,C1456,P001,5,"The Everyday Sneakers are so soft and comfortable, feels like walking on clouds.",2026-08-13,True
REV00193,ORD00479,C1485,P003,2,Stitching came undone within two weeks of regular use.,2025-10-27,True
REV00194,ORD00272,C1234,P005,2,The fabric on the Wool Runner pilled and looked worn out very quickly.,2026-06-01,True
REV00195,ORD01232,C1114,P008,5,"The Trail Blazer are so soft and comfortable, feels like walking on clouds.",2025-10-14,True
REV00196,ORD00266,C1212,P011,5,Breathable material and lightweight - ideal for long office days.,2026-03-26,False
REV00197,ORD00210,C1076,P011,3,"It's a fine pair of Cloud Step, does what it says, no major complaints.",2026-03-29,True
REV00198,ORD00025,C1460,P012,4,Breathable material and lightweight - ideal for long office days.,2026-08-25,True
REV00199,ORD00054,C1019,P011,5,Super lightweight and stylish. Get compliments every time I wear my Cloud Step.,2026-01-21,True
REV00200,ORD01115,C1232,P003,5,"Very easy to wear, true to size, and the Stone Beige colour looks amazing in person.",2026-03-24,True
REV00201,ORD01168,C1190,P006,3,"Reasonable quality, delivery took a bit longer than expected but shoes are fine. Comfort is fine but I'm still deciding if I like the overall look.",2026-07-05,True
REV00202,ORD00752,C1420,P001,4,"The Everyday Sneakers are so soft and comfortable, feels like walking on clouds.",2026-03-19,True
REV00203,ORD01321,C1272,P002,3,"Average experience. Comfortable but the Jet Black colour looked a bit different than the photos. Reasonable quality, delivery took a bit longer than expected but shoes are fine.",2026-06-10,True
REV00204,ORD01013,C1285,P006,5,"Excellent build quality, the stitching and finish look premium.",2025-11-12,True
REV00205,ORD00641,C1289,P010,5,Super lightweight and stylish. Get compliments every time I wear my Flex Trainer.,2026-08-22,True
REV00206,ORD00421,C1067,P003,4,"Very easy to wear, true to size, and the Stone Beige colour looks amazing in person.",2026-04-21,True
REV00207,ORD00213,C1269,P007,5,Breathable material and lightweight - ideal for long office days. Loved the design and the fit was spot on. Would definitely recommend the Comfort Sandal.,2026-08-13,True
REV00208,ORD01204,C1310,P006,2,The material quality of the Active Knit feels cheap compared to the price.,2025-10-09,True
REV00209,ORD00857,C1207,P008,3,"Good for casual use, not something I'd wear for long walks though.",2026-05-08,True
REV00210,ORD00736,C1141,P004,5,"Excellent build quality, the stitching and finish look premium. Breathable material and lightweight - ideal for long office days.",2025-10-31,True
REV00211,ORD01227,C1265,P009,1,The material quality of the Classic Loafer feels cheap compared to the price.,2025-11-25,True
REV00212,ORD00570,C1456,P006,3,"It's a fine pair of Active Knit, does what it says, no major complaints. Fit is okay, needed a few days to break in before it felt normal.",2026-07-29,True
REV00213,ORD01182,C1050,P009,5,Fits true to size and the arch support is great for standing all day.,2026-02-19,True
REV00214,ORD01317,C1471,P012,4,Perfect for daily walks. The cushioning on the Urban Hi-Top is fantastic.,2025-09-27,True
REV00215,ORD00027,C1034,P010,5,"Stylish look, comfortable sole, and delivery was quick too. Very happy overall.",2026-06-20,True
REV00216,ORD00062,C1356,P011,5,"The Cloud Step are so soft and comfortable, feels like walking on clouds.",2025-11-26,True
REV00217,ORD00357,C1473,P002,5,"Great quality for the price. My Runner Pro still look brand new after months of use. Very easy to wear, true to size, and the Jet Black colour looks amazing in person.",2026-05-29,True
REV00218,ORD01187,C1014,P009,1,Refund took much longer than promised after returning the Classic Loafer.,2026-03-17,True
REV00219,ORD00667,C1386,P005,3,"Reasonable quality, delivery took a bit longer than expected but shoes are fine.",2026-01-26,True
REV00220,ORD00616,C1217,P011,4,"The Cloud Step are so soft and comfortable, feels like walking on clouds.",2025-10-12,True
REV00221,ORD00636,C1320,P005,4,"My third pair from Neeman's, and the Wool Runner might be my favourite so far. Breathable material and lightweight - ideal for long office days.",2025-11-18,True
REV00222,ORD01106,C1453,P006,3,Comfort is fine but I'm still deciding if I like the overall look.,2026-08-24,True
REV00223,ORD00343,C1100,P003,4,"The Daily Walk are so soft and comfortable, feels like walking on clouds.",2025-09-28,True
