order_id,customer_id,product_id,order_date,delivery_date,order_status,quantity,order_value,delivery_days,return_status,return_reason
ORD00049,C1353,P003,2026-04-09,2026-04-12,Delivered,2,3998,3,Not Returned,
ORD00050,C1065,P003,2026-06-01,2026-06-02,Returned,1,1999,1,Returned,Quality issue
ORD00051,C1127,P001,2026-01-30,2026-02-06,Returned,1,2499,7,Returned,Wrong product
ORD00052,C1079,P011,2025-10-17,2025-10-19,Returned,1,2199,2,Returned,Quality issue
ORD00053,C1410,P004,2025-11-17,2025-11-21,Delivered,2,4598,4,Not Returned,
ORD00054,C1019,P011,2025-12-31,2026-01-04,Delivered,1,2199,4,Not Returned,
ORD00055,C1116,P008,2025-12-17,2025-12-22,Delivered,2,7398,5,Not Returned,
ORD00056,C1395,P004,2025-09-07,2025-09-09,Delivered,1,2299,2,Not Returned,
ORD00057,C1449,P005,2026-02-21,2026-02-22,Returned,1,3499,1,Returned,Comfort issue
ORD00058,C1055,P005,2025-11-25,,Cancelled,1,3499,,Not Returned,
ORD00059,C1197,P010,2026-04-05,2026-04-09,Delivered,1,2599,4,Not Returned,
ORD00060,C1266,P010,2025-12-01,2025-12-03,Delivered,1,2599,2,Not Returned,
ORD00061,C1160,P009,2026-08-12,2026-08-15,Delivered,1,2899,3,Not Returned,
ORD00062,C1356,P011,2025-10-28,2025-11-02,Delivered,1,2199,5,Not Returned,
ORD00063,C1089,P005,2026-06-05,2026-06-10,Delivered,1,3499,5,Not Returned,
ORD00064,C1155,P010,2026-06-13,2026-06-20,Delivered,2,5198,7,Not Returned,
ORD00065,C1345,P005,2025-12-11,2025-12-16,Delivered,1,3499,5,Not Returned,
ORD00066,C1337,P004,2026-05-14,,Cancelled,1,2299,,Not Returned,
ORD00067,C1158,P002,2026-01-18,,Cancelled,1,3199,,Not Returned,
ORD00068,C1393,P004,2025-12-05,2025-12-11,In Transit,1,2299,6,Not Returned,
ORD00069,C1075,P002,2026-04-16,2026-04-22,Delivered,1,3199,6,Not Returned,
ORD00070,C1112,P011,2026-08-13,2026-08-15,Returned,1,2199,2,Returned,Late delivery
ORD00071,C1237,P003,2026-08-17,2026-08-18,Returned,1,1999,1,Returned,Size issue
ORD00072,C1313,P011,2026-05-24,,Cancelled,2,4398,,Not Returned,
ORD00073,C1132,P012,2026-05-11,2026-05-16,Returned,1,2999,5,Returned,Changed mind
ORD00074,C1140,P004,2026-07-18,2026-07-20,Delivered,1,2299,2,Not Returned,
ORD00075,C1196,P008,2025-10-04,2025-10-08,Returned,1,3699,4,Returned,Size issue
ORD00076,C1277,P012,2025-11-12,2025-11-18,Delivered,1,2999,6,Not Returned,
ORD00077,C1438,P008,2026-03-26,2026-03-31,Returned,1,3699,5,Returned,Quality issue
ORD00078,C1385,P010,2026-03-08,2026-03-14,Delivered,1,2599,6,Not Returned,
ORD00079,C1112,P007,2026-03-28,2026-04-01,Delivered,1,1499,4,Not Returned,
ORD00080,C1347,P005,2026-04-06,2026-04-07,Delivered,1,3499,1,Not Returned,
ORD00081,C1303,P007,2025-11-18,2025-11-27,Delivered,2,2998,9,Not Returned,
ORD00082,C1443,P010,2026-07-31,2026-08-01,Delivered,1,2599,1,Not Returned,
ORD00083,C1450,P008,2025-11-27,2025-12-01,Delivered,1,3699,4,Not Returned,
ORD00084,C1009,P007,2026-01-15,2026-01-21,Delivered,1,1499,6,Not Returned,
ORD00085,C1333,P012,2026-05-29,2026-06-04,Delivered,2,5998,6,Not Returned,
ORD00086,C1078,P001,2025-09-10,2025-09-14,Delivered,1,2499,4,Not Returned,
ORD00087,C1310,P004,2025-10-29,2025-11-10,Delivered,1,2299,12,Not Returned,
ORD00088,C1013,P010,2025-10-23,,Cancelled,1,2599,,Not Returned,
ORD00089,C1321,P005,2026-06-16,2026-06-17,Delivered,1,3499,1,Not Returned,
ORD00090,C1289,P004,2025-10-17,2025-10-23,Delivered,1,2299,6,Not Returned,
ORD00091,C1434,P001,2026-02-19,2026-02-21,Delivered,1,2499,2,Not Returned,
ORD00092,C1456,P007,2026-05-03,2026-05-08,Delivered,1,1499,5,Not Returned,
ORD00093,C1413,P008,2026-08-23,,Cancelled,1,3699,,Not Returned,
ORD00094,C1137,P009,2026-04-30,2026-05-05,Delivered,1,2899,5,Not Returned,
ORD00095,C1342,P006,2025-12-29,2026-01-02,Delivered,1,2799,4,Not Returned,
ORD00096,C1249,P007,2026-02-14,2026-02-20,Delivered,1,1499,6,Not Returned,
ORD00097,C1485,P004,2026-02-23,2026-02-25,Delivered,1,2299,2,Not Returned,
ORD00098,C1353,P004,2025-10-08,2025-10-16,Delivered,1,2299,8,Not Returned,
ORD00099,C1124,P008,2026-07-22,2026-07-26,Delivered,1,3699,4,Not Returned,
ORD00100,C1176,P005,2026-07-31,2026-08-04,Delivered,1,3499,4,Not Returned,
ORD00101,C1369,P007,2026-06-03,2026-06-06,Delivered,1,1499,3,Not Returned,
ORD00102,C1098,P004,2026-02-03,,Cancelled,1,2299,,Not Returned,
ORD00103,C1099,P004,2026-04-30,2026-05-03,Delivered,1,2299,3,Not Returned,
ORD00104,C1273,P005,2025-12-20,2025-12-21,Delivered,1,3499,1,Not Returned,
ORD00105,C1444,P003,2026-01-13,2026-01-20,Delivered,1,1999,7,Not Returned,
ORD00106,C1225,P008,2025-10-17,2025-10-21,Delivered,1,3699,4,Not Returned,
ORD00107,C1251,P006,2025-11-28,2025-12-02,Delivered,1,2799,4,Not Returned,
ORD00108,C1485,P002,2026-06-17,2026-06-25,Delivered,2,6398,8,Not Returned,
ORD00109,C1115,P005,2025-10-08,2025-10-15,Delivered,2,6998,7,Not Returned,
ORD00110,C1219,P009,2026-03-08,2026-03-15,Returned,1,2899,7,Returned,Size issue
ORD00111,C1320,P005,2026-06-13,2026-06-22,Delivered,1,3499,9,Not Returned,
ORD00112,C1209,P004,2026-01-08,2026-01-19,Delivered,1,2299,11,Not Returned,
ORD00113,C1440,P008,2026-08-13,2026-08-16,Delivered,1,3699,3,Not Returned,
ORD00114,C1338,P008,2025-10-01,2025-10-05,Returned,1,3699,4,Returned,Changed mind
ORD00115,C1157,P004,2026-03-31,2026-04-01,Returned,1,2299,1,Returned,Size issue
ORD00116,C1155,P010,2026-06-13,2026-06-16,Delivered,1,2599,3,Not Returned,
ORD00117,C1221,P012,2026-03-20,2026-03-21,Delivered,1,2999,1,Not Returned,
ORD00118,C1492,P012,2026-02-07,2026-02-11,Delivered,1,2999,4,Not Returned,
ORD00119,C1387,P011,2026-06-16,2026-06-28,Delivered,1,2199,12,Not Returned,
ORD00120,C1092,P003,2026-04-23,2026-04-24,Delivered,2,3998,1,Not Returned,
ORD00121,C1164,P010,2026-04-06,2026-04-12,Delivered,1,2599,6,Not Returned,
ORD00122,C1483,P011,2025-10-18,2025-10-19,Delivered,1,2199,1,Not Returned,
ORD00123,C1206,P007,2026-06-03,2026-06-05,Delivered,3,4497,2,Not Returned,
ORD00124,C1265,P009,2025-08-26,2025-08-31,Returned,1,2899,5,Returned,Size issue
ORD00125,C1474,P006,2026-07-10,2026-07-11,Delivered,1,2799,1,Not Returned,
ORD00126,C1311,P005,2026-04-07,2026-04-08,Delivered,3,10497,1,Not Returned,
ORD00127,C1058,P004,2026-08-24,2026-08-28,Delivered,2,4598,4,Not Returned,
ORD00128,C1260,P008,2025-10-25,2025-10-29,Returned,1,3699,4,Returned,Quality issue
ORD00129,C1196,P012,2026-01-12,2026-01-19,Delivered,1,2999,7,Not Returned,
ORD00130,C1395,P004,2026-06-28,2026-06-29,Delivered,1,2299,1,Not Returned,
ORD00131,C1296,P007,2026-02-16,2026-02-20,Delivered,2,2998,4,Not Returned,
ORD00132,C1390,P011,2026-05-03,2026-05-07,Delivered,1,2199,4,Not Returned,
ORD00133,C1196,P009,2026-03-07,2026-03-15,In Transit,1,2899,8,Not Returned,
ORD00134,C1195,P004,2026-03-24,2026-03-26,Delivered,2,4598,2,Not Returned,
ORD00135,C1302,P007,2026-07-31,2026-08-07,Delivered,1,1499,7,Not Returned,
ORD00136,C1007,P006,2025-10-16,2025-10-20,Delivered,2,5598,4,Not Returned,
ORD00137,C1135,P012,2025-11-07,2025-11-15,Delivered,2,5998,8,Not Returned,
ORD00138,C1436,P006,2026-07-11,2026-07-12,Delivered,2,5598,1,Not Returned,
ORD00139,C1316,P011,2026-05-26,2026-06-02,Delivered,1,2199,7,Not Returned,
ORD00140,C1046,P002,2025-12-24,2025-12-27,Delivered,1,3199,3,Not Returned,
ORD00141,C1014,P007,2025-10-15,2025-10-19,Delivered,1,1499,4,Not Returned,
ORD00142,C1074,P001,2026-02-08,2026-02-11,Delivered,1,2499,3,Not Returned,
ORD00143,C1349,P004,2026-05-24,2026-05-29,Delivered,1,2299,5,Not Returned,
ORD00144,C1341,P004,2026-05-07,2026-05-16,Delivered,1,2299,9,Not Returned,
ORD00145,C1300,P001,2026-04-21,2026-04-24,Delivered,1,2499,3,Not Returned,
ORD00146,C1154,P005,2026-07-19,2026-07-22,Delivered,1,3499,3,Not Returned,
ORD00147,C1011,P004,2026-03-10,2026-03-16,Delivered,1,2299,6,Not Returned,
ORD00148,C1025,P011,2026-03-16,2026-03-31,Delivered,1,2199,15,Not Returned,
ORD00149,C1128,P010,2026-05-07,2026-05-11,Returned,1,2599,4,Returned,Size issue
ORD00150,C1225,P011,2026-07-29,2026-07-31,Returned,1,2199,2,Returned,Changed mind
ORD00151,C1089,P001,2026-06-18,2026-06-22,Delivered,1,2499,4,Not Returned,
ORD00152,C1139,P004,2025-11-01,2025-11-04,Delivered,1,2299,3,Not Returned,
ORD00153,C1038,P003,2026-01-04,2026-01-10,Returned,1,1999,6,Returned,Changed mind
ORD00154,C1187,P003,2025-12-19,,Cancelled,2,3998,,Not Returned,
ORD00155,C1195,P002,2026-03-16,2026-03-20,Delivered,1,3199,4,Not Returned,
ORD00156,C1482,P011,2026-03-04,2026-03-09,Delivered,1,2199,5,Not Returned,
ORD00157,C1209,P009,2026-02-09,2026-02-13,Returned,1,2899,4,Returned,Wrong product
ORD00158,C1049,P002,2025-11-05,2025-11-10,Delivered,1,3199,5,Not Returned,
ORD00159,C1300,P004,2026-05-28,2026-05-30,Delivered,1,2299,2,Not Returned,
ORD00160,C1315,P012,2025-11-13,2025-11-18,Delivered,2,5998,5,Not Returned,
ORD00161,C1185,P007,2026-01-16,2026-01-19,Delivered,1,1499,3,Not Returned,
ORD00162,C1203,P002,2026-08-12,,Cancelled,1,3199,,Not Returned,
ORD00163,C1327,P005,2025-12-01,2025-12-09,Delivered,1,3499,8,Not Returned,
ORD00164,C1064,P010,2025-09-05,2025-09-08,Delivered,1,2599,3,Not Returned,
ORD00165,C1119,P010,2025-12-09,2025-12-14,Delivered,2,5198,5,Not Returned,
ORD00166,C1074,P006,2025-11-09,2025-11-11,Delivered,2,5598,2,Not Returned,
ORD00167,C1403,P003,2026-05-29,2026-06-02,Returned,1,1999,4,Returned,Size issue
ORD00168,C1269,P004,2026-06-23,2026-07-02,Delivered,1,2299,9,Not Returned,
ORD00169,C1314,P002,2025-09-27,2025-09-29,Delivered,1,3199,2,Not Returned,
ORD00170,C1015,P001,2026-07-29,2026-08-03,Delivered,1,2499,5,Not Returned,
ORD00171,C1460,P001,2026-04-28,2026-05-01,Delivered,1,2499,3,Not Returned,
ORD00172,C1299,P002,2026-02-06,2026-02-10,Delivered,1,3199,4,Not Returned,
ORD00173,C1220,P009,2026-08-25,2026-08-27,Delivered,1,2899,2,Not Returned,
ORD00174,C1369,P002,2026-08-20,2026-08-26,Delivered,1,3199,6,Not Returned,
ORD00175,C1160,P004,2026-04-03,2026-04-09,Delivered,1,2299,6,Not Returned,
ORD00176,C1472,P007,2026-02-02,2026-02-05,Delivered,1,1499,3,Not Returned,
ORD00177,C1415,P008,2025-09-29,2025-10-03,Delivered,1,3699,4,Not Returned,
ORD00178,C1168,P003,2026-06-06,2026-06-09,Delivered,1,1999,3,Not Returned,
ORD00179,C1307,P011,2025-10-27,2025-10-29,Returned,3,6597,2,Returned,Wrong product
ORD00180,C1336,P005,2026-02-22,2026-03-01,Delivered,1,3499,7,Not Returned,
ORD00181,C1115,P008,2025-12-18,2025-12-20,Delivered,1,3699,2,Not Returned,
ORD00182,C1013,P007,2026-06-09,2026-06-15,Delivered,1,1499,6,Not Returned,
ORD00183,C1179,P010,2026-07-28,2026-08-03,Delivered,2,5198,6,Not Returned,
ORD00184,C1072,P001,2025-11-26,2025-11-30,Delivered,1,2499,4,Not Returned,
ORD00185,C1080,P012,2026-07-16,2026-07-22,Delivered,1,2999,6,Not Returned,
ORD00186,C1043,P006,2026-02-01,2026-02-06,Delivered,1,2799,5,Not Returned,
ORD00187,C1217,P001,2025-11-13,2025-11-17,Delivered,1,2499,4,Not Returned,
ORD00188,C1262,P008,2026-07-02,2026-07-05,Delivered,1,3699,3,Not Returned,
ORD00189,C1112,P002,2026-02-18,2026-02-25,Delivered,1,3199,7,Not Returned,
ORD00190,C1108,P007,2026-06-28,2026-07-04,Delivered,1,1499,6,Not Returned,
ORD00191,C1194,P003,2026-01-03,2026-01-07,Delivered,1,1999,4,Not Returned,
ORD00192,C1412,P009,2026-08-21,2026-08-25,Delivered,2,5798,4,Not Returned,
ORD00193,C1441,P006,2025-10-01,2025-10-05,Delivered,2,5598,4,Not Returned,
ORD00194,C1213,P006,2026-06-16,2026-06-20,Delivered,1,2799,4,Not Returned,
ORD00195,C1470,P005,2025-10-23,2025-10-29,Returned,2,6998,6,Returned,Quality issue
ORD00196,C1268,P006,2025-10-10,2025-10-14,Returned,1,2799,4,Returned,Comfort issue
ORD00197,C1271,P002,2026-03-16,2026-03-20,Delivered,1,3199,4,Not Returned,
ORD00198,C1330,P009,2025-12-03,2025-12-05,Delivered,3,8697,2,Not Returned,
ORD00199,C1335,P003,2025-12-24,2025-12-29,Delivered,1,1999,5,Not Returned,
ORD00200,C1229,P002,2025-11-24,2025-11-29,Delivered,1,3199,5,Not Returned,
ORD00201,C1034,P011,2026-06-11,2026-06-13,Delivered,1,2199,2,Not Returned,
ORD00202,C1028,P008,2026-04-09,2026-04-11,Delivered,1,3699,2,Not Returned,
ORD00203,C1039,P006,2026-05-12,2026-05-15,Delivered,2,5598,3,Not Returned,
ORD00204,C1488,P011,2025-10-11,2025-10-17,Delivered,1,2199,6,Not Returned,
ORD00205,C1256,P012,2025-09-16,2025-09-22,Delivered,1,2999,6,Not Returned,
ORD00206,C1175,P003,2025-09-26,2025-09-28,Delivered,2,3998,2,Not Returned,
ORD00207,C1268,P012,2025-10-08,2025-10-12,Delivered,3,8997,4,Not Returned,
ORD00208,C1198,P009,2026-07-04,2026-07-08,Delivered,2,5798,4,Not Returned,
ORD00209,C1285,P007,2026-02-15,2026-02-22,Delivered,1,1499,7,Not Returned,
ORD00210,C1076,P011,2026-03-11,2026-03-16,Returned,1,2199,5,Returned,Late delivery
ORD00211,C1339,P006,2025-10-06,2025-10-07,Delivered,1,2799,1,Not Returned,
ORD00212,C1286,P007,2025-10-31,2025-11-01,Delivered,1,1499,1,Not Returned,
ORD00213,C1269,P007,2026-07-21,2026-07-26,Returned,1,1499,5,Returned,Changed mind
ORD00214,C1486,P002,2026-07-22,2026-07-23,Delivered,1,3199,1,Not Returned,
ORD00215,C1427,P004,2026-02-16,2026-03-02,Returned,1,2299,14,Returned,Size issue
ORD00216,C1316,P012,2026-05-22,2026-06-04,Delivered,2,5998,13,Not Returned,
ORD00217,C1462,P003,2026-06-27,2026-07-02,Delivered,1,1999,5,Not Returned,
ORD00218,C1121,P003,2026-04-07,2026-04-12,Delivered,1,1999,5,Not Returned,
ORD00219,C1494,P008,2026-07-04,2026-07-08,Delivered,1,3699,4,Not Returned,
ORD00220,C1225,P008,2025-12-03,2025-12-04,Delivered,1,3699,1,Not Returned,
ORD00221,C1309,P008,2026-01-17,2026-01-19,Delivered,1,3699,2,Not Returned,
ORD00222,C1283,P003,2026-01-01,2026-01-05,Delivered,2,3998,4,Not Returned,
ORD00223,C1075,P002,2026-08-25,2026-08-30,Delivered,2,6398,5,Not Returned,
ORD00224,C1212,P007,2025-10-11,2025-10-14,Returned,2,2998,3,Returned,Wrong product
ORD00225,C1163,P001,2026-03-16,2026-03-18,Delivered,1,2499,2,Not Returned,
ORD00226,C1424,P002,2026-07-24,2026-07-30,Delivered,1,3199,6,Not Returned,
ORD00227,C1009,P008,2026-08-17,2026-08-21,Delivered,2,7398,4,Not Returned,
ORD00228,C1270,P005,2025-12-14,2025-12-16,Delivered,1,3499,2,Not Returned,
ORD00229,C1318,P007,2025-10-21,2025-10-25,Delivered,1,1499,4,Not Returned,
ORD00230,C1323,P008,2025-09-27,2025-10-02,Returned,1,3699,5,Returned,Quality issue
ORD00231,C1292,P009,2026-06-16,2026-06-20,Delivered,1,2899,4,Not Returned,
ORD00232,C1488,P007,2025-11-29,2025-12-01,Delivered,1,1499,2,Not Returned,
ORD00233,C1022,P009,2026-05-31,2026-06-05,Delivered,2,5798,5,Not Returned,
ORD00234,C1176,P011,2026-03-12,2026-03-13,Delivered,2,4398,1,Not Returned,
ORD00235,C1173,P004,2026-07-28,2026-08-03,Delivered,1,2299,6,Not Returned,
ORD00236,C1069,P011,2025-11-23,2025-11-29,Delivered,1,2199,6,Not Returned,
ORD00237,C1263,P002,2026-04-17,2026-04-21,Delivered,2,6398,4,Not Returned,
ORD00238,C1097,P007,2026-05-31,2026-06-05,Delivered,1,1499,5,Not Returned,
ORD00239,C1455,P005,2026-02-24,2026-03-01,Delivered,1,3499,5,Not Returned,
ORD00240,C1354,P007,2026-04-08,2026-04-11,Delivered,1,1499,3,Not Returned,
ORD00241,C1421,P008,2026-03-02,2026-03-06,Delivered,1,3699,4,Not Returned,
ORD00242,C1338,P003,2026-06-01,2026-06-06,Delivered,1,1999,5,Not Returned,
ORD00243,C1021,P005,2026-01-29,2026-01-31,Delivered,1,3499,2,Not Returned,
ORD00244,C1405,P012,2026-02-22,2026-02-25,In Transit,1,2999,3,Not Returned,
ORD00245,C1015,P001,2025-10-03,2025-10-05,Delivered,1,2499,2,Not Returned,
ORD00246,C1398,P003,2026-07-03,2026-07-08,Delivered,1,1999,5,Not Returned,
ORD00247,C1190,P011,2026-03-01,2026-03-03,Delivered,2,4398,2,Not Returned,
ORD00248,C1160,P008,2025-10-04,2025-10-10,Delivered,1,3699,6,Not Returned,
ORD00249,C1060,P011,2026-01-15,2026-01-19,Delivered,2,4398,4,Not Returned,
ORD00250,C1355,P005,2026-01-06,2026-01-10,Delivered,1,3499,4,Not Returned,
ORD00251,C1044,P008,2025-12-06,2025-12-11,Delivered,1,3699,5,Not Returned,
ORD00252,C1153,P011,2026-02-05,2026-02-10,Delivered,1,2199,5,Not Returned,
ORD00253,C1405,P003,2026-08-25,2026-08-30,Delivered,3,5997,5,Not Returned,
ORD00254,C1188,P003,2025-12-25,2025-12-31,Delivered,1,1999,6,Not Returned,
ORD00255,C1368,P008,2026-06-04,2026-06-07,Delivered,3,11097,3,Not Returned,
ORD00256,C1037,P008,2026-05-22,2026-05-25,Delivered,2,7398,3,Not Returned,
ORD00257,C1424,P003,2026-02-04,2026-02-10,Delivered,1,1999,6,Not Returned,
ORD00258,C1221,P009,2026-07-19,2026-07-24,Delivered,3,8697,5,Not Returned,
ORD00259,C1115,P009,2025-09-23,2025-09-25,Delivered,2,5798,2,Not Returned,
ORD00260,C1282,P006,2026-05-18,2026-05-22,Returned,1,2799,4,Returned,Comfort issue
ORD00261,C1482,P005,2025-10-29,2025-11-01,Delivered,1,3499,3,Not Returned,
ORD00262,C1309,P010,2025-11-12,2025-11-19,Delivered,1,2599,7,Not Returned,
ORD00263,C1295,P006,2026-06-10,2026-06-14,Delivered,1,2799,4,Not Returned,
ORD00264,C1327,P005,2026-07-25,2026-07-29,Delivered,1,3499,4,Not Returned,
ORD00265,C1413,P001,2026-05-07,2026-05-08,Delivered,1,2499,1,Not Returned,
ORD00266,C1212,P011,2026-03-21,2026-03-24,Delivered,1,2199,3,Not Returned,
ORD00267,C1176,P008,2026-04-20,2026-04-23,Returned,3,11097,3,Returned,Comfort issue
ORD00268,C1123,P007,2025-10-31,2025-11-05,Delivered,1,1499,5,Not Returned,
ORD00269,C1442,P008,2025-10-27,2025-10-30,Delivered,2,7398,3,Not Returned,
ORD00270,C1416,P010,2026-03-28,,Cancelled,2,5198,,Not Returned,
ORD00271,C1450,P006,2026-06-17,2026-06-21,In Transit,1,2799,4,Not Returned,
ORD00272,C1234,P005,2026-05-07,2026-05-12,Delivered,1,3499,5,Not Returned,
ORD00273,C1274,P004,2025-12-14,2025-12-18,Returned,1,2299,4,Returned,Late delivery
ORD00274,C1187,P001,2025-10-20,2025-10-25,Delivered,1,2499,5,Not Returned,
ORD00275,C1037,P007,2026-03-01,2026-03-03,Delivered,1,1499,2,Not Returned,
ORD00276,C1319,P007,2026-05-11,2026-05-17,Delivered,1,1499,6,Not Returned,
ORD00277,C1187,P011,2026-07-04,2026-07-09,In Transit,1,2199,5,Not Returned,
ORD00278,C1023,P003,2025-12-05,2025-12-10,Delivered,1,1999,5,Not Returned,
ORD00279,C1071,P001,2025-11-04,2025-11-09,Delivered,2,4998,5,Not Returned,
ORD00280,C1378,P006,2026-07-05,2026-07-06,Delivered,3,8397,1,Not Returned,
ORD00281,C1243,P005,2026-06-25,2026-06-26,Delivered,1,3499,1,Not Returned,
ORD00282,C1298,P001,2026-03-02,2026-03-06,Delivered,3,7497,4,Not Returned,
ORD00283,C1397,P005,2026-08-13,,Cancelled,2,6998,,Not Returned,
ORD00284,C1087,P010,2026-06-17,2026-06-21,Delivered,1,2599,4,Not Returned,
ORD00285,C1358,P009,2026-07-14,2026-07-18,Returned,1,2899,4,Returned,Size issue
ORD00286,C1104,P002,2025-12-01,2025-12-03,Delivered,1,3199,2,Not Returned,
ORD00287,C1070,P007,2026-05-09,2026-05-17,Delivered,1,1499,8,Not Returned,
ORD00288,C1269,P009,2025-12-10,2025-12-12,Delivered,1,2899,2,Not Returned,
ORD00289,C1444,P007,2026-02-02,2026-02-03,Delivered,1,1499,1,Not Returned,
ORD00290,C1490,P012,2026-08-09,2026-08-14,Returned,1,2999,5,Returned,Comfort issue
ORD00291,C1353,P004,2026-01-15,2026-01-17,Delivered,1,2299,2,Not Returned,
ORD00292,C1478,P012,2026-05-03,2026-05-12,Delivered,1,2999,9,Not Returned,
ORD00293,C1419,P012,2026-01-13,2026-01-19,Delivered,3,8997,6,Not Returned,
ORD00294,C1040,P006,2025-11-08,2025-11-14,Delivered,3,8397,6,Not Returned,
ORD00295,C1477,P006,2026-04-09,2026-04-13,Delivered,1,2799,4,Not Returned,
ORD00296,C1300,P009,2026-08-17,2026-08-24,Delivered,1,2899,7,Not Returned,
ORD00297,C1367,P004,2025-12-28,2025-12-31,Delivered,1,2299,3,Not Returned,
ORD00298,C1475,P008,2025-10-16,2025-10-18,Delivered,1,3699,2,Not Returned,
ORD00299,C1493,P003,2026-03-22,2026-03-30,Delivered,1,1999,8,Not Returned,
ORD00300,C1045,P005,2026-02-06,2026-02-08,Delivered,2,6998,2,Not Returned,
ORD00301,C1090,P011,2026-06-15,2026-06-16,Returned,2,4398,1,Returned,Size issue
ORD00302,C1446,P001,2026-03-17,2026-03-20,Delivered,1,2499,3,Not Returned,
